popID	indivID	L	K	t	Z	PC1	PC2	PC3
AAFH472	AAFH472	27395	20	0.854409	-0.100243	24.279	2.27628	17.4157
ABEI419	ABEI419	27445	20	0.855398	0.0393636	23.7417	-1.55428	-9.7763
ABFG272	ABFG272	27437	20	0.855176	6.44834	-43.3483	-29.8055	52.7315
ABG2361	ABG2361	27432	20	0.855255	-0.0823369	36.1408	-3.89232	-18.1826
ABGA416	ABGA416	27440	20	0.855478	-0.0356458	26.2843	27.3805	6.96818
ABJL185	ABJL185	27417	20	0.854861	-0.270878	23.7915	2.40323	-20.657
ABKA304	ABKA304	26785	20	0.854993	-0.177688	23.0529	9.51631	-19.0952
ABKI404	ABKI404	27382	20	0.855274	1.1926	36.1121	-7.81598	-11.7998
ACAP236	ACAP236	27425	20	0.85618	-3.44683	15.5588	1.31415	-2.05864
ACEK420	ACEK420	27444	20	0.855564	0.591626	26.5916	8.80305	-6.26831
ADAC418	ADAC418	27416	20	0.855578	0.282784	10.7589	-3.3763	-9.74413
HP2191	HP2191	27422	20	0.855311	-0.52667	28.4943	-5.99327	-18.1487
TGH282	TGH282	27426	20	0.855773	1.36599	24.102	-0.351157	3.83711
TGY436	TGY436	27425	20	0.855593	0.969928	11.3926	10.0908	0.730589
TH4128	TH4128	27414	20	0.854836	-1.46704	11.2487	13.8783	-2.34862
TH5160	TH5160	27414	20	0.856107	-2.82097	14.7662	-9.68871	5.67257
TJ1029	TJ1029	27374	20	0.855324	-0.205359	33.7579	5.46467	-11.6642
TJA073	TJA073	27401	20	0.8564	5.47561	-31.2785	-25.1136	95.0389
TJE083	TJE083	27430	20	0.855338	0.0904972	18.4258	-0.366471	-17.3376
UBS172	UBS172	27266	20	0.854943	-1.29593	25.8837	-14.0261	-21.3205
UBZ379	UBZ379	27390	20	0.85555	-1.01467	32.0061	4.08155	-18.4998
UCO492	UCO492	27414	20	0.855041	-1.56027	18.7301	-9.16591	-2.78729
UG3360	UG3360	27444	20	0.855523	-1.05724	16.3814	6.21758	-16.8203
UGQ298	UGQ298	26914	20	0.855161	2.29048	14.7486	-5.99004	-19.5043
UHI140	UHI140	27398	20	0.855391	-0.274837	22.2263	-1.55406	18.7136
UJG192	UJG192	27413	20	0.855607	-0.0754335	24.0613	1.64828	0.831844
UK2184	UK2184	27374	20	0.856301	-0.00747531	31.143	17.7426	-5.86251
ULI102	ULI102	27440	20	0.855675	-1.00893	25.3815	-6.92236	-8.25485
ULM047	ULM047	27363	20	0.855641	-0.479318	24.7555	31.009	39.7374
VA2103	VA2103	27420	20	0.855351	0.167021	20.6897	6.98972	-0.702931
VBL403	VBL403	27406	20	0.855979	0.56263	33.595	-1.44248	6.18199
VBS118	VBS118	27393	20	0.855815	0.291786	26.6235	5.83981	15.8258
VC2154	VC2154	27430	20	0.855662	-0.379794	22.4559	-3.90381	10.0297
VD3037	VD3037	27414	20	0.855191	-0.313189	35.359	10.3011	18.3209
VDH041	VDH041	27400	20	0.854599	0.948895	27.5974	-1.62015	-0.509626
VDZ067	VDZ067	27396	20	0.855786	-0.713591	14.9051	26.7154	29.6046
VEM410	VEM410	27443	20	0.855227	-0.297125	25.2157	-0.0360184	-13.0211
VEY129	VEY129	27395	20	0.855487	0.703562	29.6279	-7.22863	-16.0586
VFM167	VFM167	27403	20	0.856076	0.202192	24.7143	11.5189	0.248512
WBB020	WBB020	27445	20	0.855465	-2.49697	32.8067	3.89111	-13.5663
WHY272	WHY272	27396	20	0.855304	2.68738	6.39824	-13.1619	7.56178
XAK069	XAK069	27409	20	0.855257	-0.357748	29.2661	-5.27074	-15.1695
XEC010	XEC010	27393	20	0.85535	-0.182024	15.5491	-11.414	0.0528267
XFS109	XFS109	27412	20	0.855317	-0.488496	36.3259	19.1964	5.20449
XJY097	XJY097	27390	20	0.855281	1.4291	-47.5438	1.54636	23.7109
XK2367	XK2367	27422	20	0.855295	0.115647	25.759	6.05585	-13.1656
XKG309	XKG309	27430	20	0.855359	0.633136	24.8667	41.0197	30.9062
YAR273	YAR273	27424	20	0.855351	-0.555151	28.1495	-0.973743	-11.4917
YHN107	YHN107	27404	20	0.854989	-0.275366	22.0293	-1.43426	-8.72898
ZHE289	ZHE289	27402	20	0.855376	3.24082	23.9973	6.22003	-3.76068
