popID	indivID	L	K	t	Z	PC1	PC2	PC3
AAEJ316	AAEJ316	27404	20	0.861399	8.67641	-3.25286	13.4904	300.651
ABCU196	ABCU196	27420	20	0.876562	35.9472	-96.4646	-23.9431	667.097
ACAF166	ACAF166	27403	20	0.86365	13.941	20.14	67.6141	462.716
ACEQ383	ACEQ383	27439	20	0.869093	32.4266	-82.9497	-69.3115	-537.452
HP2184	HP2184	27397	20	0.859671	10.3849	1.87844	48.2455	337.924
HP2200	HP2200	27445	20	0.866461	17.8932	-25.5398	54.1768	520.507
TF1232	TF1232	27429	20	0.877238	41.3087	-104.9	-31.307	706.913
UEP0317	UEP0317	27394	20	0.857917	8.963	0.641068	43.1161	282.284
UKI217	UKI217	27400	20	0.878589	35.0702	-98.4521	-28.9576	668.279
VAD335	VAD335	27412	20	0.857716	8.30876	12.0389	29.8229	257.435
VB3063	VB3063	27375	20	0.868654	20.769	-60.6652	-26.3263	530.753
VDB248	VDB248	27430	20	0.863391	13.2922	10.0287	59.0601	442.85
VEF019	VEF019	27429	20	0.855205	8.28922	2.55474	27.5138	175.352
VFT204	VFT204	27355	20	0.874819	30.4084	-74.9585	-17.9448	624.71
XFK356	XFK356	27330	20	0.878956	42.326	-112.994	-32.3658	719.711
YHM329	YHM329	27442	20	0.878007	40.3889	-109.208	-25.3974	702.28
